"SEQPRODUTO";"DESCCOMPLETA";"QUANTIDADE";"DATA";"HORA";"ENTRADASAIDA"
25274;"CARNE BOV RSF KG";3497,108;01/04/25;"06:00:00";"entrada"
25274;"CARNE BOV RSF KG";1263;01/04/25;"07:00:00";"entrada"
25274;"CARNE BOV RSF KG";1275,8;01/04/25;"07:00:00";"entrada"
25274;"CARNE BOV RSF KG";2511,7;02/04/25;"07:00:00";"entrada"
25274;"CARNE BOV RSF KG";759,56;03/04/25;"07:00:00";"entrada"
25274;"CARNE BOV RSF KG";5168;04/04/25;"07:00:00";"entrada"
25274;"CARNE BOV RSF KG";3819,6;05/04/25;"07:00:00";"entrada"
25274;"CARNE BOV RSF KG";1287,3;05/04/25;"07:00:00";"entrada"
25274;"CARNE BOV RSF KG";2846,6;07/04/25;"07:00:00";"entrada"
25274;"CARNE BOV RSF KG";1253,5;08/04/25;"07:00:00";"entrada"
25274;"CARNE BOV RSF KG";922,91;09/04/25;"07:00:00";"entrada"
