SEQPRODUTO;DESCCOMPLETA;PERCENTUAL
145887;CARNE BOV RSF KG MOIDA SEGUNDA;33,85
145923;CARNE BOV RSF KG AGULHA;11,18
145916;CARNE BOV RSF KG PALETA;10,05
145926;CARNE BOV RSF KG COSTELA JANELA;5,08
145886;CARNE BOV RSF KG MOIDA PRIMEIRA;5,05
145911;CARNE BOV RSF KG PICADO PRIMEIRA;2,53
145909;CARNE BOV RSF KG BIFE COX DENTRO;2,44
145931;CARNE BOV RSF KG COSTELA S/OSSO;2,22
145920;CARNE BOV RSF KG ASSADO DE TIRAS;2,18
145901;CARNE BOV RSF KG APARA DO LOMBO;2,15
145921;CARNE BOV RSF KG GRANITO;1,88
145905;CARNE BOV RSF KG CHULETA;1,72
145907;CARNE BOV RSF KG ENTRECOT;1,66
145917;CARNE BOV RSF KG ESP P/CHURRASCO;1,39
145919;CARNE BOV RSF KG PEITO;1,36
145891;CARNE BOV RSF KG COXAO DE DENTRO;1,33
145930;CARNE BOV RSF KG VAZIO;1,26
145897;CARNE BOV RSF KG FILE MIGNON;1,19
145910;CARNE BOV RSF KG CAPA COX MOLE;1,04
145900;CARNE BOV RSF KG PICANHA;0,97
145904;CARNE BOV RSF KG CAPA DE FILE;0,84
145915;CARNE BOV RSF KG MUSC DIANTEIRO;0,82
145899;CARNE BOV RSF KG MAMINHA;0,81
145893;CARNE BOV RSF KG PATINHO;0,76
145913;CARNE BOV RSF KG BIFE DE ALCATRA;0,71
145922;CARNE BOV RSF KG ACEM;0,61
145896;CARNE BOV RSF KG ALCATRA;0,59
145888;CARNE BOV RSF KG OSSO;0,54
145902;CARNE BOV RSF KG BANANINHA;0,53
145929;CARNE BOV RSF KG FRALDINHA;0,48
145890;CARNE BOV RSF KG ESP NA CHAPA;0,47
145927;CARNE BOV RSF KG ENTRANHA;0,38
145889;CARNE BOV RSF KG COXAO DE FORA;0,37
145928;CARNE BOV RSF KG MATAMBRE;0,31
145894;CARNE BOV RSF KG TATU;0,31
145906;CARNE BOV RSF KG CONTRAFILE;0,25
145898;CARNE BOV RSF KG FIL-MIGN CORDAO;0,22
145895;CARNE BOV RSF KG MUSC TRASEIRO;0,13
145925;CARNE BOV RSF KG SHORT RIB;0,11
145912;CARNE BOV RSF KG BIFE DE PATINHO;0,07
145914;CARNE BOV RSF KG ISCAS ALCATRA;0,06
145903;CARNE BOV RSF KG BISTECA;0,04
145908;CARNE BOV RSF KG PRIME RIB;0,03
145924;CARNE BOV RSF KG PICADO DE ACEM;0,03
